Files already downloaded and verified
Params 0.01% alive (2114/21289802) parameters
Epoch 1/250 lr: 1.0000e-02 	| train_acc: 12.11%  	train_loss: 2.2840  	val_acc: 14.69%  	val_loss: 2.2695
Epoch 32/250 lr: 5.0000e-03 	| train_acc: 72.90%  	train_loss: 0.7709  	val_acc: 74.29%  	val_loss: 0.7329
Epoch 33/250 lr: 5.0000e-03 	| train_acc: 74.01%  	train_loss: 0.7394  	val_acc: 73.91%  	val_loss: 0.7574
Epoch 34/250 lr: 4.6652e-03 	| train_acc: 75.05%  	train_loss: 0.7091  	val_acc: 75.98%  	val_loss: 0.6926
Epoch 35/250 lr: 4.6652e-03 	| train_acc: 75.56%  	train_loss: 0.6905  	val_acc: 76.05%  	val_loss: 0.7036
Epoch 36/250 lr: 4.6652e-03 	| train_acc: 75.95%  	train_loss: 0.6787  	val_acc: 75.97%  	val_loss: 0.6981
Epoch 37/250 lr: 4.3528e-03 	| train_acc: 76.98%  	train_loss: 0.6564  	val_acc: 77.41%  	val_loss: 0.6658
Epoch 38/250 lr: 4.3528e-03 	| train_acc: 77.45%  	train_loss: 0.6390  	val_acc: 77.68%  	val_loss: 0.6605
Epoch 39/250 lr: 4.3528e-03 	| train_acc: 77.58%  	train_loss: 0.6359  	val_acc: 77.41%  	val_loss: 0.6529
Epoch 40/250 lr: 4.0613e-03 	| train_acc: 78.72%  	train_loss: 0.6068  	val_acc: 77.54%  	val_loss: 0.6549
Params 15.86% alive (3376116/21289802) parameters
Epoch 41/250 lr: 4.0613e-03 	| train_acc: 75.52%  	train_loss: 0.6966  	val_acc: 75.19%  	val_loss: 0.7266
Epoch 42/250 lr: 4.0613e-03 	| train_acc: 77.10%  	train_loss: 0.6540  	val_acc: 77.34%  	val_loss: 0.6619
Epoch 43/250 lr: 3.7893e-03 	| train_acc: 78.33%  	train_loss: 0.6143  	val_acc: 78.41%  	val_loss: 0.6388
Epoch 44/250 lr: 3.7893e-03 	| train_acc: 79.23%  	train_loss: 0.5916  	val_acc: 76.26%  	val_loss: 0.6999
Epoch 45/250 lr: 3.7893e-03 	| train_acc: 79.55%  	train_loss: 0.5789  	val_acc: 79.08%  	val_loss: 0.6012
Epoch 46/250 lr: 3.5355e-03 	| train_acc: 80.45%  	train_loss: 0.5574  	val_acc: 78.76%  	val_loss: 0.6115
Epoch 47/250 lr: 3.5355e-03 	| train_acc: 80.99%  	train_loss: 0.5401  	val_acc: 79.96%  	val_loss: 0.5946
Epoch 48/250 lr: 3.5355e-03 	| train_acc: 81.44%  	train_loss: 0.5286  	val_acc: 79.63%  	val_loss: 0.6058
Epoch 49/250 lr: 3.2988e-03 	| train_acc: 81.85%  	train_loss: 0.5129  	val_acc: 79.98%  	val_loss: 0.5829
Epoch 50/250 lr: 3.2988e-03 	| train_acc: 82.33%  	train_loss: 0.5008  	val_acc: 80.31%  	val_loss: 0.5861
Params 31.72% alive (6752238/21289802) parameters
Epoch 51/250 lr: 6.5975e-04 	| train_acc: 78.82%  	train_loss: 0.6010  	val_acc: 78.62%  	val_loss: 0.6244
Epoch 52/250 lr: 1.2311e-03 	| train_acc: 80.60%  	train_loss: 0.5478  	val_acc: 80.04%  	val_loss: 0.5918
Epoch 53/250 lr: 1.8467e-03 	| train_acc: 81.63%  	train_loss: 0.5254  	val_acc: 79.20%  	val_loss: 0.6077
Epoch 54/250 lr: 2.4623e-03 	| train_acc: 82.19%  	train_loss: 0.5032  	val_acc: 80.12%  	val_loss: 0.5890
Epoch 55/250 lr: 2.8717e-03 	| train_acc: 82.86%  	train_loss: 0.4852  	val_acc: 81.18%  	val_loss: 0.5692
Epoch 56/250 lr: 2.8717e-03 	| train_acc: 83.71%  	train_loss: 0.4630  	val_acc: 80.77%  	val_loss: 0.5878
Epoch 57/250 lr: 2.8717e-03 	| train_acc: 83.85%  	train_loss: 0.4583  	val_acc: 81.64%  	val_loss: 0.5508
Epoch 58/250 lr: 2.6794e-03 	| train_acc: 84.60%  	train_loss: 0.4405  	val_acc: 80.96%  	val_loss: 0.5623
Epoch 59/250 lr: 2.6794e-03 	| train_acc: 84.97%  	train_loss: 0.4290  	val_acc: 80.95%  	val_loss: 0.5670
Epoch 60/250 lr: 2.6794e-03 	| train_acc: 85.24%  	train_loss: 0.4169  	val_acc: 81.58%  	val_loss: 0.5477
Epoch 61/250 lr: 2.5000e-03 	| train_acc: 85.72%  	train_loss: 0.4057  	val_acc: 81.75%  	val_loss: 0.5624
Epoch 62/250 lr: 2.5000e-03 	| train_acc: 85.95%  	train_loss: 0.4019  	val_acc: 82.52%  	val_loss: 0.5326
Epoch 63/250 lr: 2.5000e-03 	| train_acc: 86.15%  	train_loss: 0.3891  	val_acc: 82.29%  	val_loss: 0.5398
Epoch 64/250 lr: 2.3326e-03 	| train_acc: 86.68%  	train_loss: 0.3731  	val_acc: 81.82%  	val_loss: 0.5489
Epoch 65/250 lr: 2.3326e-03 	| train_acc: 87.09%  	train_loss: 0.3668  	val_acc: 82.55%  	val_loss: 0.5260
Epoch 66/250 lr: 2.3326e-03 	| train_acc: 87.25%  	train_loss: 0.3649  	val_acc: 82.05%  	val_loss: 0.5577
Epoch 67/250 lr: 2.1764e-03 	| train_acc: 88.02%  	train_loss: 0.3427  	val_acc: 82.91%  	val_loss: 0.5358
Epoch 68/250 lr: 2.1764e-03 	| train_acc: 87.91%  	train_loss: 0.3426  	val_acc: 83.15%  	val_loss: 0.5312
Epoch 69/250 lr: 2.1764e-03 	| train_acc: 88.18%  	train_loss: 0.3342  	val_acc: 82.35%  	val_loss: 0.5467
Epoch 70/250 lr: 2.0306e-03 	| train_acc: 88.27%  	train_loss: 0.3303  	val_acc: 82.64%  	val_loss: 0.5357
Epoch 71/250 lr: 2.0306e-03 	| train_acc: 88.53%  	train_loss: 0.3234  	val_acc: 83.02%  	val_loss: 0.5206
Epoch 72/250 lr: 2.0306e-03 	| train_acc: 88.98%  	train_loss: 0.3110  	val_acc: 82.47%  	val_loss: 0.5475
Epoch 73/250 lr: 1.8946e-03 	| train_acc: 89.62%  	train_loss: 0.2943  	val_acc: 83.51%  	val_loss: 0.5268
Epoch 74/250 lr: 1.8946e-03 	| train_acc: 89.60%  	train_loss: 0.2937  	val_acc: 83.13%  	val_loss: 0.5386
Epoch 75/250 lr: 1.8946e-03 	| train_acc: 89.80%  	train_loss: 0.2863  	val_acc: 83.11%  	val_loss: 0.5376
Epoch 76/250 lr: 1.7678e-03 	| train_acc: 89.93%  	train_loss: 0.2831  	val_acc: 83.71%  	val_loss: 0.5315
Epoch 77/250 lr: 1.7678e-03 	| train_acc: 90.23%  	train_loss: 0.2759  	val_acc: 84.30%  	val_loss: 0.5143
Epoch 78/250 lr: 1.7678e-03 	| train_acc: 90.48%  	train_loss: 0.2681  	val_acc: 82.95%  	val_loss: 0.5410
Epoch 79/250 lr: 1.6494e-03 	| train_acc: 90.64%  	train_loss: 0.2625  	val_acc: 83.66%  	val_loss: 0.5230
Epoch 80/250 lr: 1.6494e-03 	| train_acc: 90.79%  	train_loss: 0.2579  	val_acc: 83.56%  	val_loss: 0.5472
Epoch 81/250 lr: 1.6494e-03 	| train_acc: 91.19%  	train_loss: 0.2491  	val_acc: 83.42%  	val_loss: 0.5516
Epoch 82/250 lr: 1.5389e-03 	| train_acc: 91.11%  	train_loss: 0.2486  	val_acc: 84.01%  	val_loss: 0.5333
Epoch 83/250 lr: 1.5389e-03 	| train_acc: 91.31%  	train_loss: 0.2422  	val_acc: 83.22%  	val_loss: 0.5529
Epoch 84/250 lr: 1.5389e-03 	| train_acc: 91.71%  	train_loss: 0.2324  	val_acc: 83.83%  	val_loss: 0.5321
Epoch 85/250 lr: 1.4359e-03 	| train_acc: 92.00%  	train_loss: 0.2231  	val_acc: 83.70%  	val_loss: 0.5358
Epoch 86/250 lr: 1.4359e-03 	| train_acc: 92.10%  	train_loss: 0.2211  	val_acc: 84.27%  	val_loss: 0.5403
Epoch 87/250 lr: 1.4359e-03 	| train_acc: 91.88%  	train_loss: 0.2262  	val_acc: 83.83%  	val_loss: 0.5490
Epoch 88/250 lr: 1.3397e-03 	| train_acc: 92.38%  	train_loss: 0.2130  	val_acc: 83.70%  	val_loss: 0.5485
Epoch 89/250 lr: 1.3397e-03 	| train_acc: 92.92%  	train_loss: 0.2007  	val_acc: 84.02%  	val_loss: 0.5455
Epoch 90/250 lr: 1.3397e-03 	| train_acc: 92.51%  	train_loss: 0.2093  	val_acc: 83.82%  	val_loss: 0.5543
Epoch 91/250 lr: 1.2500e-03 	| train_acc: 93.27%  	train_loss: 0.1906  	val_acc: 83.97%  	val_loss: 0.5587
Epoch 92/250 lr: 1.2500e-03 	| train_acc: 93.18%  	train_loss: 0.1901  	val_acc: 84.40%  	val_loss: 0.5518
Epoch 93/250 lr: 1.2500e-03 	| train_acc: 93.33%  	train_loss: 0.1883  	val_acc: 84.06%  	val_loss: 0.5483
Epoch 94/250 lr: 1.1663e-03 	| train_acc: 93.55%  	train_loss: 0.1814  	val_acc: 84.00%  	val_loss: 0.5603
Epoch 95/250 lr: 1.1663e-03 	| train_acc: 93.57%  	train_loss: 0.1796  	val_acc: 84.01%  	val_loss: 0.5699
Epoch 96/250 lr: 1.1663e-03 	| train_acc: 93.66%  	train_loss: 0.1772  	val_acc: 84.39%  	val_loss: 0.5667
Epoch 97/250 lr: 1.0882e-03 	| train_acc: 94.18%  	train_loss: 0.1670  	val_acc: 83.89%  	val_loss: 0.5793
Epoch 98/250 lr: 1.0882e-03 	| train_acc: 94.14%  	train_loss: 0.1650  	val_acc: 84.20%  	val_loss: 0.5754
Epoch 99/250 lr: 1.0882e-03 	| train_acc: 94.43%  	train_loss: 0.1591  	val_acc: 84.77%  	val_loss: 0.5669
Epoch 100/250 lr: 1.0153e-03 	| train_acc: 94.47%  	train_loss: 0.1562  	val_acc: 84.52%  	val_loss: 0.5672
Params 63.43% alive (13504467/21289802) parameters
Epoch 101/250 lr: 2.0306e-04 	| train_acc: 90.76%  	train_loss: 0.2571  	val_acc: 83.04%  	val_loss: 0.5777
Epoch 102/250 lr: 4.0613e-04 	| train_acc: 91.00%  	train_loss: 0.2461  	val_acc: 82.52%  	val_loss: 0.5927
Epoch 103/250 lr: 5.6839e-04 	| train_acc: 92.17%  	train_loss: 0.2172  	val_acc: 83.79%  	val_loss: 0.5639
Epoch 104/250 lr: 7.5786e-04 	| train_acc: 92.70%  	train_loss: 0.2042  	val_acc: 83.90%  	val_loss: 0.5500
Epoch 105/250 lr: 9.4732e-04 	| train_acc: 93.13%  	train_loss: 0.1973  	val_acc: 83.60%  	val_loss: 0.5750
Epoch 106/250 lr: 8.8388e-04 	| train_acc: 93.33%  	train_loss: 0.1869  	val_acc: 83.51%  	val_loss: 0.5734
Epoch 107/250 lr: 8.8388e-04 	| train_acc: 93.71%  	train_loss: 0.1762  	val_acc: 84.42%  	val_loss: 0.5780
Epoch 108/250 lr: 8.8388e-04 	| train_acc: 93.90%  	train_loss: 0.1709  	val_acc: 83.90%  	val_loss: 0.5704
Epoch 109/250 lr: 8.2469e-04 	| train_acc: 94.28%  	train_loss: 0.1657  	val_acc: 84.26%  	val_loss: 0.5640
Epoch 110/250 lr: 8.2469e-04 	| train_acc: 94.46%  	train_loss: 0.1564  	val_acc: 84.16%  	val_loss: 0.5621
Epoch 111/250 lr: 8.2469e-04 	| train_acc: 94.56%  	train_loss: 0.1550  	val_acc: 84.18%  	val_loss: 0.5797
Epoch 112/250 lr: 7.6947e-04 	| train_acc: 94.69%  	train_loss: 0.1469  	val_acc: 84.57%  	val_loss: 0.5735
Epoch 113/250 lr: 7.6947e-04 	| train_acc: 94.95%  	train_loss: 0.1439  	val_acc: 84.33%  	val_loss: 0.5826
Epoch 114/250 lr: 7.6947e-04 	| train_acc: 95.12%  	train_loss: 0.1393  	val_acc: 84.07%  	val_loss: 0.5929
Epoch 115/250 lr: 7.1794e-04 	| train_acc: 95.42%  	train_loss: 0.1284  	val_acc: 84.78%  	val_loss: 0.5695
Epoch 116/250 lr: 7.1794e-04 	| train_acc: 95.67%  	train_loss: 0.1237  	val_acc: 84.45%  	val_loss: 0.5762
Epoch 117/250 lr: 7.1794e-04 	| train_acc: 95.74%  	train_loss: 0.1203  	val_acc: 84.85%  	val_loss: 0.5733
Epoch 118/250 lr: 6.6986e-04 	| train_acc: 95.99%  	train_loss: 0.1147  	val_acc: 84.88%  	val_loss: 0.5828
Epoch 119/250 lr: 6.6986e-04 	| train_acc: 96.01%  	train_loss: 0.1121  	val_acc: 84.37%  	val_loss: 0.6070
Epoch 120/250 lr: 6.6986e-04 	| train_acc: 96.20%  	train_loss: 0.1089  	val_acc: 84.92%  	val_loss: 0.5862
Epoch 121/250 lr: 6.2500e-04 	| train_acc: 96.45%  	train_loss: 0.1029  	val_acc: 84.38%  	val_loss: 0.6002
Epoch 122/250 lr: 6.2500e-04 	| train_acc: 96.50%  	train_loss: 0.1007  	val_acc: 85.30%  	val_loss: 0.5813
Epoch 123/250 lr: 6.2500e-04 	| train_acc: 96.74%  	train_loss: 0.0973  	val_acc: 85.06%  	val_loss: 0.5903
Epoch 124/250 lr: 5.8315e-04 	| train_acc: 96.75%  	train_loss: 0.0918  	val_acc: 85.05%  	val_loss: 0.5976
Epoch 125/250 lr: 5.8315e-04 	| train_acc: 96.99%  	train_loss: 0.0886  	val_acc: 84.87%  	val_loss: 0.5906
Epoch 126/250 lr: 5.8315e-04 	| train_acc: 96.97%  	train_loss: 0.0884  	val_acc: 85.01%  	val_loss: 0.5983
Epoch 127/250 lr: 5.4409e-04 	| train_acc: 97.18%  	train_loss: 0.0813  	val_acc: 85.34%  	val_loss: 0.5990
Epoch 128/250 lr: 5.4409e-04 	| train_acc: 97.26%  	train_loss: 0.0785  	val_acc: 84.87%  	val_loss: 0.6121
Epoch 129/250 lr: 5.4409e-04 	| train_acc: 97.21%  	train_loss: 0.0794  	val_acc: 85.12%  	val_loss: 0.5962
Epoch 130/250 lr: 5.0766e-04 	| train_acc: 97.30%  	train_loss: 0.0763  	val_acc: 85.23%  	val_loss: 0.6025
Epoch 131/250 lr: 5.0766e-04 	| train_acc: 97.38%  	train_loss: 0.0760  	val_acc: 85.28%  	val_loss: 0.6035
Epoch 132/250 lr: 5.0766e-04 	| train_acc: 97.58%  	train_loss: 0.0696  	val_acc: 85.49%  	val_loss: 0.6029
Epoch 133/250 lr: 4.7366e-04 	| train_acc: 97.70%  	train_loss: 0.0659  	val_acc: 85.16%  	val_loss: 0.6130
Epoch 134/250 lr: 4.7366e-04 	| train_acc: 97.62%  	train_loss: 0.0688  	val_acc: 85.40%  	val_loss: 0.6014
Epoch 135/250 lr: 4.7366e-04 	| train_acc: 97.84%  	train_loss: 0.0641  	val_acc: 85.14%  	val_loss: 0.6224
Epoch 136/250 lr: 4.4194e-04 	| train_acc: 97.87%  	train_loss: 0.0612  	val_acc: 85.28%  	val_loss: 0.6230
Epoch 137/250 lr: 4.4194e-04 	| train_acc: 98.21%  	train_loss: 0.0555  	val_acc: 85.23%  	val_loss: 0.6318
Epoch 138/250 lr: 4.4194e-04 	| train_acc: 98.08%  	train_loss: 0.0552  	val_acc: 85.11%  	val_loss: 0.6242
Epoch 139/250 lr: 4.1235e-04 	| train_acc: 98.27%  	train_loss: 0.0525  	val_acc: 85.16%  	val_loss: 0.6233
Epoch 140/250 lr: 4.1235e-04 	| train_acc: 98.16%  	train_loss: 0.0527  	val_acc: 85.42%  	val_loss: 0.6218
Epoch 141/250 lr: 4.1235e-04 	| train_acc: 98.25%  	train_loss: 0.0527  	val_acc: 85.21%  	val_loss: 0.6476
Epoch 142/250 lr: 3.8473e-04 	| train_acc: 98.30%  	train_loss: 0.0509  	val_acc: 85.29%  	val_loss: 0.6365
Epoch 143/250 lr: 3.8473e-04 	| train_acc: 98.32%  	train_loss: 0.0507  	val_acc: 85.11%  	val_loss: 0.6433
Epoch 144/250 lr: 3.8473e-04 	| train_acc: 98.41%  	train_loss: 0.0487  	val_acc: 85.30%  	val_loss: 0.6319
Epoch 145/250 lr: 3.5897e-04 	| train_acc: 98.50%  	train_loss: 0.0448  	val_acc: 85.53%  	val_loss: 0.6356
Epoch 146/250 lr: 3.5897e-04 	| train_acc: 98.49%  	train_loss: 0.0448  	val_acc: 85.48%  	val_loss: 0.6377
Epoch 147/250 lr: 3.5897e-04 	| train_acc: 98.55%  	train_loss: 0.0440  	val_acc: 85.31%  	val_loss: 0.6362
Epoch 148/250 lr: 3.3493e-04 	| train_acc: 98.74%  	train_loss: 0.0385  	val_acc: 85.62%  	val_loss: 0.6392
Epoch 149/250 lr: 3.3493e-04 	| train_acc: 98.70%  	train_loss: 0.0392  	val_acc: 85.50%  	val_loss: 0.6282
Epoch 150/250 lr: 3.3493e-04 	| train_acc: 98.73%  	train_loss: 0.0393  	val_acc: 85.57%  	val_loss: 0.6359
Params 99.11% alive (21100736/21289802) parameters
Epoch 151/250 lr: 3.1250e-05 	| train_acc: 96.65%  	train_loss: 0.0943  	val_acc: 84.57%  	val_loss: 0.6697
Epoch 152/250 lr: 6.2500e-05 	| train_acc: 97.46%  	train_loss: 0.0754  	val_acc: 84.80%  	val_loss: 0.6330
Epoch 153/250 lr: 9.3750e-05 	| train_acc: 97.65%  	train_loss: 0.0690  	val_acc: 84.70%  	val_loss: 0.6416
Epoch 154/250 lr: 1.1663e-04 	| train_acc: 97.89%  	train_loss: 0.0633  	val_acc: 84.86%  	val_loss: 0.6427
Epoch 155/250 lr: 1.4579e-04 	| train_acc: 98.09%  	train_loss: 0.0553  	val_acc: 85.19%  	val_loss: 0.6306
Epoch 156/250 lr: 1.7494e-04 	| train_acc: 98.17%  	train_loss: 0.0549  	val_acc: 84.95%  	val_loss: 0.6547
Epoch 157/250 lr: 1.9043e-04 	| train_acc: 98.37%  	train_loss: 0.0492  	val_acc: 85.00%  	val_loss: 0.6340
Epoch 158/250 lr: 2.1764e-04 	| train_acc: 98.25%  	train_loss: 0.0487  	val_acc: 84.90%  	val_loss: 0.6252
Epoch 159/250 lr: 2.4484e-04 	| train_acc: 98.47%  	train_loss: 0.0459  	val_acc: 85.04%  	val_loss: 0.6472
Epoch 160/250 lr: 2.5383e-04 	| train_acc: 98.65%  	train_loss: 0.0411  	val_acc: 85.43%  	val_loss: 0.6359
Epoch 161/250 lr: 2.5383e-04 	| train_acc: 98.54%  	train_loss: 0.0447  	val_acc: 85.25%  	val_loss: 0.6510
Epoch 162/250 lr: 2.5383e-04 	| train_acc: 98.58%  	train_loss: 0.0426  	val_acc: 85.54%  	val_loss: 0.6342
Epoch 163/250 lr: 2.3683e-04 	| train_acc: 98.70%  	train_loss: 0.0391  	val_acc: 85.51%  	val_loss: 0.6375
Epoch 164/250 lr: 2.3683e-04 	| train_acc: 98.85%  	train_loss: 0.0361  	val_acc: 85.52%  	val_loss: 0.6409
Epoch 165/250 lr: 2.3683e-04 	| train_acc: 98.80%  	train_loss: 0.0368  	val_acc: 85.79%  	val_loss: 0.6337
Epoch 166/250 lr: 2.2097e-04 	| train_acc: 98.92%  	train_loss: 0.0333  	val_acc: 85.54%  	val_loss: 0.6502
Epoch 167/250 lr: 2.2097e-04 	| train_acc: 99.00%  	train_loss: 0.0323  	val_acc: 85.29%  	val_loss: 0.6528
Epoch 168/250 lr: 2.2097e-04 	| train_acc: 98.98%  	train_loss: 0.0325  	val_acc: 85.31%  	val_loss: 0.6482
Epoch 169/250 lr: 2.0617e-04 	| train_acc: 99.04%  	train_loss: 0.0296  	val_acc: 85.34%  	val_loss: 0.6577
Epoch 170/250 lr: 2.0617e-04 	| train_acc: 98.98%  	train_loss: 0.0313  	val_acc: 85.17%  	val_loss: 0.6542
Epoch 171/250 lr: 2.0617e-04 	| train_acc: 99.09%  	train_loss: 0.0288  	val_acc: 85.47%  	val_loss: 0.6537
Epoch 172/250 lr: 1.9237e-04 	| train_acc: 99.15%  	train_loss: 0.0266  	val_acc: 85.59%  	val_loss: 0.6511
Epoch 173/250 lr: 1.9237e-04 	| train_acc: 99.07%  	train_loss: 0.0281  	val_acc: 85.43%  	val_loss: 0.6515
Epoch 174/250 lr: 1.9237e-04 	| train_acc: 99.13%  	train_loss: 0.0277  	val_acc: 85.93%  	val_loss: 0.6437
Epoch 175/250 lr: 1.7948e-04 	| train_acc: 99.23%  	train_loss: 0.0254  	val_acc: 85.60%  	val_loss: 0.6559
Epoch 176/250 lr: 1.7948e-04 	| train_acc: 99.25%  	train_loss: 0.0237  	val_acc: 85.81%  	val_loss: 0.6556
Epoch 177/250 lr: 1.7948e-04 	| train_acc: 99.27%  	train_loss: 0.0234  	val_acc: 85.68%  	val_loss: 0.6687
Epoch 178/250 lr: 1.6746e-04 	| train_acc: 99.31%  	train_loss: 0.0216  	val_acc: 85.62%  	val_loss: 0.6590
Epoch 179/250 lr: 1.6746e-04 	| train_acc: 99.35%  	train_loss: 0.0222  	val_acc: 85.61%  	val_loss: 0.6655
Epoch 180/250 lr: 1.6746e-04 	| train_acc: 99.37%  	train_loss: 0.0208  	val_acc: 85.58%  	val_loss: 0.6691
Epoch 181/250 lr: 1.5625e-04 	| train_acc: 99.38%  	train_loss: 0.0198  	val_acc: 85.51%  	val_loss: 0.6767
Epoch 182/250 lr: 1.5625e-04 	| train_acc: 99.41%  	train_loss: 0.0194  	val_acc: 85.86%  	val_loss: 0.6670
Epoch 183/250 lr: 1.5625e-04 	| train_acc: 99.37%  	train_loss: 0.0209  	val_acc: 85.78%  	val_loss: 0.6754
Epoch 184/250 lr: 1.4579e-04 	| train_acc: 99.37%  	train_loss: 0.0205  	val_acc: 85.69%  	val_loss: 0.6739
Epoch 185/250 lr: 1.4579e-04 	| train_acc: 99.49%  	train_loss: 0.0178  	val_acc: 85.54%  	val_loss: 0.6772
Epoch 186/250 lr: 1.4579e-04 	| train_acc: 99.45%  	train_loss: 0.0183  	val_acc: 85.58%  	val_loss: 0.6683
Epoch 187/250 lr: 1.3602e-04 	| train_acc: 99.44%  	train_loss: 0.0182  	val_acc: 85.60%  	val_loss: 0.6821
Epoch 188/250 lr: 1.3602e-04 	| train_acc: 99.50%  	train_loss: 0.0166  	val_acc: 85.54%  	val_loss: 0.6819
Epoch 189/250 lr: 1.3602e-04 	| train_acc: 99.46%  	train_loss: 0.0177  	val_acc: 85.76%  	val_loss: 0.6797
Epoch 190/250 lr: 1.2691e-04 	| train_acc: 99.51%  	train_loss: 0.0162  	val_acc: 85.84%  	val_loss: 0.6780
Epoch 191/250 lr: 1.2691e-04 	| train_acc: 99.47%  	train_loss: 0.0170  	val_acc: 85.72%  	val_loss: 0.6788
Epoch 192/250 lr: 1.2691e-04 	| train_acc: 99.53%  	train_loss: 0.0160  	val_acc: 85.89%  	val_loss: 0.6794
Epoch 193/250 lr: 1.1842e-04 	| train_acc: 99.59%  	train_loss: 0.0149  	val_acc: 85.76%  	val_loss: 0.6777
Epoch 194/250 lr: 1.1842e-04 	| train_acc: 99.57%  	train_loss: 0.0156  	val_acc: 85.80%  	val_loss: 0.6783
Epoch 195/250 lr: 1.1842e-04 	| train_acc: 99.53%  	train_loss: 0.0151  	val_acc: 85.72%  	val_loss: 0.6843
